,age,best_estimate_liabilities,death_prob,discount_rate,expected_benefit,expected_premium,forward_rate,projection_year,pv_expected_benefit,pv_expected_premium,survival_rate,yearly_forward_rate,yearly_spot_rate,t,r
863,103,0.0,1.0,0.9971989881174854,0.0,0.0,0.0028088795876159978,72,0.0,0.0,0.0,0.03423218863548283,0.02925,863,1
864,104,0.0,1.0,0.9971989881174854,0.0,0.0,0.0028088795876159978,72,0.0,0.0,0.0,0.03423218863548283,0.02925,864,1
865,104,0.0,1.0,0.9971877124914279,0.0,0.0,0.002820218774603367,73,0.0,0.0,0.0,0.03437253140797436,0.02932,865,1
866,104,0.0,1.0,0.9971877124914279,0.0,0.0,0.002820218774603367,73,0.0,0.0,0.0,0.03437253140797436,0.02932,866,1
867,104,0.0,1.0,0.9971877124914279,0.0,0.0,0.002820218774603367,73,0.0,0.0,0.0,0.03437253140797436,0.02932,867,1
868,104,0.0,1.0,0.9971877124914279,0.0,0.0,0.002820218774603367,73,0.0,0.0,0.0,0.03437253140797436,0.02932,868,1
869,104,0.0,1.0,0.9971877124914279,0.0,0.0,0.002820218774603367,73,0.0,0.0,0.0,0.03437253140797436,0.02932,869,1
870,104,0.0,1.0,0.9971877124914279,0.0,0.0,0.002820218774603367,73,0.0,0.0,0.0,0.03437253140797436,0.02932,870,1
871,104,0.0,1.0,0.9971877124914279,0.0,0.0,0.002820218774603367,73,0.0,0.0,0.0,0.03437253140797436,0.02932,871,1
872,104,0.0,1.0,0.9971877124914279,0.0,0.0,0.002820218774603367,73,0.0,0.0,0.0,0.03437253140797436,0.02932,872,1
873,104,0.0,1.0,0.9971877124914279,0.0,0.0,0.002820218774603367,73,0.0,0.0,0.0,0.03437253140797436,0.02932,873,1
874,104,0.0,1.0,0.9971877124914279,0.0,0.0,0.002820218774603367,73,0.0,0.0,0.0,0.03437253140797436,0.02932,874,1
875,104,0.0,1.0,0.9971877124914279,0.0,0.0,0.002820218774603367,73,0.0,0.0,0.0,0.03437253140797436,0.02932,875,1
876,105,0.0,1.0,0.9971877124914279,0.0,0.0,0.002820218774603367,73,0.0,0.0,0.0,0.03437253140797436,0.02932,876,1
877,105,0.0,1.0,0.997176438142097,0.0,0.0,0.002831556934060453,74,0.0,0.0,0.0,0.03451287891752153,0.02939,877,1
